Treatment,Tank,Fragment,Picture,Time ,date,F0,Fm,YII
29,2,4,,9,2017-06-21,0.1564,0.3593,0.565
29,2,48,,9,2017-06-21,0.1701,0.3505,0.515
29,2,52,,9,2017-06-21,0.174,0.4034,0.569
29,2,70,,9,2017-06-21,0.1422,0.3387,0.58
29,2,6,,9,2017-06-21,0.1422,0.3431,0.586
29,2,45,,9,2017-06-21,0.1735,0.3583,0.516
29,2,95,,9,2017-06-21,0.1495,0.3363,0.555
29,2,75,,9,2017-06-21,0.1456,0.3137,0.536
29,2,81,,9,2017-06-21,0.1598,0.3696,0.568
29,2,69,,9,2017-06-21,0.1368,0.349,0.608
29,2,80,,9,2017-06-21,0.1613,0.3627,0.555
29,2,66,,9,2017-06-21,0.1368,0.3387,0.596
29,2,89,,9,2017-06-21,0.1966,0.3956,0.503
29,2,25,,9,2017-06-21,0.1966,0.4054,0.515
29,2,22,,9,2017-06-21,0.1799,0.3578,0.497
29,2,32,,9,2017-06-21,0.2059,0.4353,0.527
29,2,2,,9,2017-06-21,0.1456,0.3216,0.547
29,2,5,,9,2017-06-21,0.1475,0.3804,0.612
29,2,93,,9,2017-06-21,0.1515,0.3647,0.585
29,2,24,,9,2017-06-21,0.1779,0.423,0.579
29,2,41,,9,2017-06-21,0.148,0.3613,0.59
28,1,125b,,9,2017-06-21,0.1676,0.4324,0.612
28,1,20b,,9,2017-06-21,0.1358,0.324,0.581
28,1,71b,,9,2017-06-21,0.1662,0.4034,0.588
28,1,137b,,9,2017-06-21,0.1412,0.3279,0.57
28,1,114b,,9,2017-06-21,0.151,0.3559,0.576
28,1,85b,,9,2017-06-21,0.1588,0.3681,0.569
28,1,27b,,9,2017-06-21,0.1397,0.3343,0.582
28,1,34b,,9,2017-06-21,0.1451,0.3407,0.574
28,1,49b,,9,2017-06-21,0.1475,0.3495,0.578
28,1,15b,,9,2017-06-21,0.1623,0.4054,0.6
28,1,18b,,9,2017-06-21,0.1569,0.3814,0.589
28,1,196b,,9,2017-06-21,0.1686,0.3892,0.567
28,1,68b,,9,2017-06-21,0.1716,0.4029,0.574
28,1,129b,,9,2017-06-21,0.1623,0.4005,0.595
28,1,43b,,9,2017-06-21,0.1627,0.376,0.567
28,1,134b,,9,2017-06-21,0.1789,0.4088,0.562
28,1,8b,,9,2017-06-21,0.1559,0.3706,0.579
28,1,46b,,9,2017-06-21,0.1598,0.3696,0.568
28,1,91b,,9,2017-06-21,0.1588,0.3662,0.566
28,1,126b,,9,2017-06-21,0.1784,0.4181,0.573
27,3,88,,10,2017-06-28,0.1348,0.3201,0.579
27,3,12,,10,2017-06-28,0.1897,0.4093,0.537
27,3,59,,10,2017-06-28,0.1681,0.3745,0.551
27,3,92,,10,2017-06-28,0.173,0.4162,0.584
27,3,78,,10,2017-06-28,0.1309,0.2858,0.542
27,3,11,,10,2017-06-28,0.148,0.3907,0.621
27,3,40,,10,2017-06-28,0.1603,0.4123,0.611
27,3,57,,10,2017-06-28,0.1755,0.3745,0.531
27,3,96,,10,2017-06-28,0.1412,0.3216,0.561
27,3,60,,10,2017-06-28,0.1451,0.3387,0.572
27,3,63,,10,2017-06-28,0.1676,0.3647,0.54
27,3,79,,10,2017-06-28,0.1426,0.3225,0.558
27,3,83,,10,2017-06-28,0.148,0.3549,0.583
27,3,82,,10,2017-06-28,0.1706,0.3995,0.573
27,3,28,,10,2017-06-28,0.1853,0.3755,0.507
27,3,29,,10,2017-06-28,0.1971,0.4113,0.521
27,3,73,,10,2017-06-28,0.1662,0.3853,0.569
27,3,90,,10,2017-06-28,0.1912,0.3873,0.506
27,3,84,,10,2017-06-28,0.1672,0.3873,0.568
27,3,35,,10,2017-06-28,0.1725,0.3554,0.514
27,3,65,,10,2017-06-28,0.1505,0.4005,0.624
27,3,58,,10,2017-06-28,0.1647,0.3853,0.573
27,3,62,,10,2017-06-28,0.148,0.3515,0.579
27,3,31,,10,2017-06-28,0.1804,0.3765,0.521
27,3,30,,10,2017-06-28,0.1642,0.3348,0.51
26,4,94,,10,2017-06-28,0.1686,0.3152,0.465
26,4,1,,10,2017-06-28,0.1995,0.3392,0.412
26,4,16,,10,2017-06-28,0.1789,0.3093,0.422
26,4,9,,10,2017-06-28,0.1627,0.2907,0.44
26,4,72,,10,2017-06-28,0.1775,0.2686,0.339
26,4,36,,10,2017-06-28,0.1946,0.349,0.442
26,4,51,,10,2017-06-28,0.1632,0.2706,0.397
26,4,67,,10,2017-06-28,0.1554,0.2422,0.358
26,4,17,,10,2017-06-28,0.1672,0.2848,0.413
26,4,50,,10,2017-06-28,0.1632,0.2828,0.423
26,4,61,,10,2017-06-28,0.198,0.3324,0.404
26,4,76,,10,2017-06-28,0.1593,0.2588,0.384
26,4,64,,10,2017-06-28,0.1667,0.2912,0.428
26,4,55,,10,2017-06-28,0.1686,0.3299,0.489
26,4,42,,10,2017-06-28,0.1725,0.3181,0.458
26,4,44,,10,2017-06-28,0.1549,0.3172,0.512
26,4,77,,10,2017-06-28,0.1804,0.3279,0.45
26,4,56,,10,2017-06-28,0.1833,0.3147,0.417
26,4,13,,10,2017-06-28,0.1725,0.2956,0.416
26,4,127,,10,2017-06-28,0.1525,0.302,0.495
29,2,87,,10,2017-06-28,0.1402,0.324,0.567
29,2,54,,10,2017-06-28,0.1549,0.374,0.586
29,2,23,,10,2017-06-28,0.1794,0.3961,0.547
29,2,38,,10,2017-06-28,0.1578,0.3152,0.499
29,2,53,,10,2017-06-28,0.1564,0.3775,0.586
29,2,10,,10,2017-06-28,0.1426,0.3392,0.579
29,2,33,,10,2017-06-28,0.1868,0.3941,0.526
29,2,39,,10,2017-06-28,0.1422,0.3534,0.598
29,2,14,,10,2017-06-28,0.1363,0.2706,0.496
29,2,4,,10,2017-06-28,0.1426,0.3402,0.581
29,2,48,,10,2017-06-28,0.1716,0.3706,0.537
29,2,52,,10,2017-06-28,0.1637,0.4176,0.608
29,2,70,,10,2017-06-28,0.1525,0.3868,0.606
29,2,6,,10,2017-06-28,0.1549,0.3843,0.597
29,2,45,,10,2017-06-28,0.1676,0.3887,0.569
29,2,95,,10,2017-06-28,0.1417,0.3431,0.587
29,2,75,,10,2017-06-28,0.1515,0.3544,0.573
29,2,81,,10,2017-06-28,0.1877,0.4466,0.58
29,2,69,,10,2017-06-28,0.148,0.4059,0.635
29,2,80,,10,2017-06-28,0.176,0.4319,0.593
29,2,66,,10,2017-06-28,0.1353,0.352,0.616
29,2,89,,10,2017-06-28,0.1554,0.3466,0.552
29,2,25,,10,2017-06-28,0.1873,0.425,0.559
29,2,22,,10,2017-06-28,0.1569,0.3495,0.551
29,2,32,,10,2017-06-28,0.1873,0.4245,0.559
29,2,2,,10,2017-06-28,0.1377,0.3397,0.595
29,2,5,,10,2017-06-28,0.1495,0.3529,0.576
29,2,93,,10,2017-06-28,0.1529,0.3225,0.526
29,2,24,,10,2017-06-28,0.1843,0.3721,0.505
29,2,41,,10,2017-06-28,0.1392,0.3098,0.551
28,1,125b,,10,2017-06-28,0.1549,0.398,0.611
28,1,20b,,10,2017-06-28,0.15,0.3725,0.597
28,1,71b,,10,2017-06-28,0.1534,0.3755,0.591
28,1,137b,,10,2017-06-28,0.1373,0.327,0.58
28,1,114b,,10,2017-06-28,0.1564,0.3775,0.586
28,1,85b,,10,2017-06-28,0.1897,0.4735,0.599
